epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
76,0.0525,0.9937,1.0000,0.3443,0.8932,0.9957,0.1570,0.9456,0.9886,0.1505,0.9474,0.9887,,,,
77,0.0565,0.9927,1.0000,0.3445,0.8908,0.9957,0.1571,0.9450,0.9886,0.1505,0.9475,0.9887,1E-12,,,
78,0.0506,0.9937,1.0000,0.3444,0.8908,0.9957,0.1571,0.9456,0.9888,0.1505,0.9474,0.9887,,,,
79,0.0514,0.9948,1.0000,0.3445,0.8908,0.9957,0.1579,0.9449,0.9883,0.1505,0.9474,0.9887,,,,
80,0.0500,0.9969,1.0000,0.3447,0.8908,0.9957,0.1569,0.9452,0.9887,0.1505,0.9475,0.9887,,,,
81,0.0529,0.9937,1.0000,0.3448,0.8908,0.9957,0.1567,0.9438,0.9887,0.1505,0.9475,0.9887,,,,
82,0.0508,0.9927,1.0000,0.3446,0.8908,0.9957,0.1571,0.9442,0.9887,0.1506,0.9474,0.9887,1E-13,,,
83,0.0516,0.9937,1.0000,0.3443,0.8956,0.9957,0.1578,0.9457,0.9885,0.1505,0.9474,0.9887,,,,
84,0.0521,0.9927,1.0000,0.3445,0.8932,0.9957,0.1563,0.9445,0.9887,0.1505,0.9475,0.9887,,,,
85,0.0523,0.9937,1.0000,0.3443,0.8932,0.9957,0.1566,0.9456,0.9887,0.1505,0.9476,0.9887,,,,
86,0.0540,0.9916,1.0000,0.3447,0.8908,0.9957,0.1574,0.9442,0.9885,0.1505,0.9475,0.9887,,,,
87,0.0505,0.9937,1.0000,0.3442,0.8908,0.9957,0.1568,0.9454,0.9887,0.1506,0.9475,0.9887,1E-14,,,
88,0.0523,0.9916,1.0000,0.3443,0.8932,0.9957,0.1564,0.9450,0.9888,0.1505,0.9475,0.9887,,,,
89,0.0514,0.9948,1.0000,0.3442,0.8932,0.9957,0.1581,0.9443,0.9884,0.1505,0.9475,0.9887,,,,
90,0.0510,0.9958,1.0000,0.3436,0.8908,0.9957,0.1566,0.9451,0.9887,0.1505,0.9474,0.9887,,,,
